issue,time,title,type,url,weekday
not found,"May 16, 2017",Text of a Letter from the President to the Congress of the United States,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-president-congress-united-states-3/,Tuesday
FOREIGN POLICY,"May 16, 2017",Remarks by President Trump and President Erdogan of Turkey in Joint Statement,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-erdogan-turkey-joint-statement/,Tuesday
FOREIGN POLICY,"May 16, 2017",Notice Regarding the Continuation of the National Emergency with Respect to the Stabilization of Iraq,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/notice-regarding-continuation-national-emergency-respect-stabilization-iraq/,Tuesday
not found,"May 16, 2017",Press Gaggle by Press Secretary Spicer,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-gaggle-press-secretary-spicer/,Tuesday
not found,"May 15, 2017",Remarks by the Vice President at the National Peace Officers” Memorial Service,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-national-peace-officers-memorial-service/,Monday
FOREIGN POLICY,"May 15, 2017",Readout of President Donald J. Trump’s Meeting with Crown Prince Mohamed bin Zayed Al Nahyan of the United Arab Emirates,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-crown-prince-mohamed-bin-zayed-al-nahyan-united-arab-emirates/,Monday
HEALTHCARE,"May 14, 2017",Statement from President Donald J. Trump on Women’s Health Week,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-womens-health-week/,Sunday
FOREIGN POLICY,"May 13, 2017",Statement from the Press Secretary on the North Korea Missile Test,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-north-korea-missile-test/,Saturday
not found,"May 12, 2017",Press Briefing by Press Secretary Sean Spicer,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sean-spicer-051217/,Friday
not found,"May 12, 2017",White House Movie Theater Opened for East Wing Tours for the First Time in History,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/white-house-movie-theater-opened-east-wing-tours-first-time-history/,Friday
INFRASTRUCTURE & TECHNOLOGY,"May 12, 2017",President Trump Protects America’s Cyber Infrastructure,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-trump-protects-americas-cyber-infrastructure/,Friday
ECONOMY & JOBS,"May 12, 2017",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address-23/,Friday
LAW & JUSTICE,"May 12, 2017",President Donald J. Trump Signs S. 496 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-s-496-law/,Friday
HEALTHCARE,"May 12, 2017",WSJ Editorial Board: “Aetna Says Sayonara To Obamacare”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/wsj-editorial-board-aetna-says-sayonara-obamacare/,Friday
LAW & JUSTICE,"May 11, 2017",President Announces Formation of Bipartisan Presidential Commission on Election Integrity,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-announces-formation-bipartisan-presidential-commission-election-integrity/,Thursday
not found,"May 11, 2017",Press Briefing by Principal Deputy Press Secretary Sarah Sanders and Homeland Security Advisor Tom Bossert,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-principal-deputy-press-secretary-sarah-sanders-homeland-security-advisor-tom-bossert-051117/,Thursday
FOREIGN POLICY,"May 11, 2017",Remarks by Vice President Pence at the World Summit in Defense of Persecuted Christians,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-world-summit-defense-persecuted-christians/,Thursday
FOREIGN POLICY,"May 10, 2017",Statement from the Press Secretary on the Visit of President Recep Tayyip Erdogan of Turkey,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-president-recep-tayyip-erdogan-turkey/,Wednesday
FOREIGN POLICY,"May 10, 2017",Readout of Vice President Mike Pence’s Meeting with Foreign Minister Pavlo Klimkin of Ukraine,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-vice-president-mike-pences-meeting-foreign-minister-pavlo-klimkin-ukraine/,Wednesday
FOREIGN POLICY,"May 10, 2017",Readout of President Donald J. Trump’s Meeting with Foreign Minister Sergey Lavrov of Russia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-foreign-minister-sergey-lavrov-russia/,Wednesday
FOREIGN POLICY,"May 10, 2017",Readout of President Donald J. Trump’s Call with President Moon Jae-in of the Republic of Korea,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-moon-jae-republic-korea/,Wednesday
not found,"May 10, 2017",Daily Press Briefing by Principal Deputy Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/daily-press-briefing-principal-deputy-press-secretary-sarah-sanders-051017/,Wednesday
FOREIGN POLICY,"May 9, 2017",Text of a Letter from the President to the Speaker of the House of Representatives and the President of the Senate,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-president-senate-8/,Tuesday
not found,"May 9, 2017",Statement from the Press Secretary,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-13/,Tuesday
FOREIGN POLICY,"May 9, 2017",Statement from the Press Secretary,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-12/,Tuesday
not found,"May 9, 2017",Remarks by the Vice President and Mrs. Pence to Military Families,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-mrs-pence-military-families/,Tuesday
FOREIGN POLICY,"May 9, 2017",Notice Regarding the Continuation of the National Emergency with Respect to the Central African Republic,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/notice-regarding-continuation-national-emergency-respect-central-african-republic/,Tuesday
FOREIGN POLICY,"May 9, 2017",Notice Regarding the Continuation of the National Emergency with Respect to the Actions of the Government of Syria,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/notice-regarding-continuation-national-emergency-respect-actions-government-syria/,Tuesday
not found,"May 9, 2017",Daily Press Briefing by Press Secretary Sean Spicer,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/daily-press-briefing-press-secretary-sean-spicer-050917/,Tuesday
FOREIGN POLICY,"May 8, 2017",Readout of the Vice President’s Meeting with Georgian Prime Minister Giorgi Kvirikashvili,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-vice-presidents-meeting-georgian-prime-minister-giorgi-kvirikashvili/,Monday
FOREIGN POLICY,"May 8, 2017",Text of a Letter from the President to the Speaker of the House of Representatives and the President of the Senate,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-president-senate-7/,Monday
not found,"May 8, 2017",Remarks by the Vice President Honoring Public Service Recognition Week and National Military Appreciation Month,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-honoring-public-service-recognition-week-national-military-appreciation-month/,Monday
FOREIGN POLICY,"May 8, 2017",Readout of President Donald J. Trump’s Call with President-Elect Emmanuel Macron of France,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-elect-emmanuel-macron-france/,Monday
LAW & JUSTICE,"May 8, 2017",President Donald J. Trump Signs H.R. 534 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-534-law/,Monday
not found,"May 8, 2017",Daily Press Briefing by Press Secretary Sean Spicer,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/daily-press-briefing-press-secretary-sean-spicer-050817/,Monday
FOREIGN POLICY,"May 7, 2017",Statement from the Press Secretary,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-11/,Sunday
EDUCATION,"May 7, 2017",Statement from President Donald J. Trump on Historically Black Colleges and Universities,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-historically-black-colleges-universities/,Sunday
FOREIGN POLICY,"May 6, 2017",Readout of the Meeting Between National Security Advisor H.R. McMaster and Venezuelan National Assembly President Julio Borges,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-meeting-national-security-advisor-h-r-mcmaster-venezuelan-national-assembly-president-julio-borges/,Saturday
FOREIGN POLICY,"May 6, 2017",Readout of President Donald J. Trump’s Call with President Pedro Pablo Kuczynski of Peru,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-pedro-pablo-kuczynski-peru-3/,Saturday
BUDGET & SPENDING,"May 6, 2017",Text of a Letter from the President to the Speaker of the House of Representatives and the President of the Senate,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-president-senate-11/,Saturday
LAW & JUSTICE,"May 5, 2017",Statement by President Donald J. Trump on Signing H.R. 244 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-signing-h-r-244-law/,Friday
not found,"May 5, 2017",Statement from President Donald J. Trump on Cinco de Mayo,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-cinco-de-mayo/,Friday
FOREIGN POLICY,"May 5, 2017",Readout of the Meeting between President Donald J. Trump and Prime Minister Malcolm Turnbull of Australia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-meeting-president-donald-j-trump-prime-minister-malcolm-turnbull-australia/,Friday
ECONOMY & JOBS,"May 5, 2017",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address-21/,Friday
LAW & JUSTICE,"May 5, 2017",President Donald J. Trump Signs H.R. 244 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-244-law/,Friday
